Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,Teachers: a) in pre-school educational institutions,87.9,KGZ
2013,Teachers: a) in pre-school educational institutions,88.8,KGZ
2014,Teachers: a) in pre-school educational institutions,89.8,KGZ
2015,Teachers: a) in pre-school educational institutions,94.7,KGZ
2016,Teachers: a) in pre-school educational institutions,91.6,KGZ
2017,Teachers: a) in pre-school educational institutions,93.4,KGZ
2018,Teachers: a) in pre-school educational institutions,93.5,KGZ
2019,Teachers: a) in pre-school educational institutions,93.6,KGZ
2020,Teachers: a) in pre-school educational institutions,94.5,KGZ
2021,Teachers: a) in pre-school educational institutions,93.5,KGZ
2010,Teachers: b) in primary school (grades 1-4),93.6,KGZ
2013,Teachers: b) in primary school (grades 1-4),94.3,KGZ
2014,Teachers: b) in primary school (grades 1-4),94.4,KGZ
2015,Teachers: b) in primary school (grades 1-4),95.0,KGZ
2016,Teachers: b) in primary school (grades 1-4),95.4,KGZ
2017,Teachers: b) in primary school (grades 1-4),96.0,KGZ
2018,Teachers: b) in primary school (grades 1-4),96.4,KGZ
2019,Teachers: b) in primary school (grades 1-4),96.3,KGZ
2020,Teachers: b) in primary school (grades 1-4),96.7,KGZ
2021,Teachers: b) in primary school (grades 1-4),96.6,KGZ
2010,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),92.9,KGZ
2013,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),94.8,KGZ
2014,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),95.3,KGZ
2015,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),95.9,KGZ
2016,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),96.9,KGZ
2017,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),97.9,KGZ
2018,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),98.0,KGZ
2019,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),98.0,KGZ
2020,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),98.2,KGZ
2021,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),98.1,KGZ
