unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,99.8,UZB
01_101_,Total,True,2001,97.3,UZB
01_101_,Total,True,2002,98.8,UZB
01_101_,Total,True,2003,98.6,UZB
01_101_,Total,True,2004,98.6,UZB
01_101_,Total,True,2005,98.2,UZB
01_101_,Total,True,2006,95.7,UZB
01_101_,Total,True,2007,95.1,UZB
01_101_,Total,True,2008,97.5,UZB
01_101_,Total,True,2009,97.6,UZB
01_101_,Total,True,2010,99.1,UZB
01_101_,Total,True,2011,99.3,UZB
01_101_,Total,True,2012,99.4,UZB
01_101_,Total,True,2013,99.8,UZB
01_101_,Total,True,2014,99.4,UZB
01_101_,Total,True,2015,99.8,UZB
01_101_,Total,True,2016,99.8,UZB
01_101_,Total,True,2017,99.7,UZB
01_101_,Total,True,2018,99.8,UZB
01_101_,Total,True,2019,99.8,UZB
01_101_,Total,True,2020,0.0,UZB
01_101_,Total,True,2021,98.0,UZB
