unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
16_101_,Total,True,2000,38.1,UZB
16_101_,Total,True,2001,41.3,UZB
16_101_,Total,True,2002,41.7,UZB
16_101_,Total,True,2003,42.0,UZB
16_101_,Total,True,2004,43.5,UZB
16_101_,Total,True,2005,46.2,UZB
16_101_,Total,True,2006,48.0,UZB
16_101_,Total,True,2007,47.4,UZB
16_101_,Total,True,2008,49.7,UZB
16_101_,Total,True,2009,52.7,UZB
16_101_,Total,True,2010,56.4,UZB
16_101_,Total,True,2011,55.4,UZB
16_101_,Total,True,2012,56.8,UZB
16_101_,Total,True,2013,56.6,UZB
16_101_,Total,True,2014,56.7,UZB
16_101_,Total,True,2015,56.5,UZB
16_101_,Total,True,2016,56.7,UZB
16_101_,Total,True,2017,52.2,UZB
16_101_,Total,True,2018,47.1,UZB
16_101_,Total,True,2019,50.6,UZB
16_101_,Total,True,2020,42.2,UZB
16_101_,Total,True,2021,47.2,UZB
