unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2000,0.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2001,0.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2002,0.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2003,0.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2004,0.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2005,18.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2006,18.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2007,18.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2008,18.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2009,22.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2010,22.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2011,22.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2012,22.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2013,22.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2014,16.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2015,16.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2016,16.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2017,16.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2018,16.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2019,32.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2020,32.0,UZB
16_175_,"in the Legislative Chamber of the Oliy Majlis, %;",True,2021,32.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2000,0.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2001,0.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2002,0.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2003,0.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2004,0.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2005,14.1,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2006,14.1,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2007,14.1,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2008,14.1,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2009,16.6,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2010,16.6,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2011,16.6,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2012,16.6,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2013,16.6,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2014,23.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2015,23.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2016,23.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2017,23.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2018,23.0,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2019,24.9,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2020,24.9,UZB
16_176_,"in Kengashes of people's deputies of regions, cities and districts",True,2021,0.0,UZB
