unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,0.0,UZB
01_101_,Total,True,2001,0.0,UZB
01_101_,Total,True,2002,0.0,UZB
01_101_,Total,True,2003,0.0,UZB
01_101_,Total,True,2004,0.0,UZB
01_101_,Total,True,2005,0.0,UZB
01_101_,Total,True,2006,0.0,UZB
01_101_,Total,True,2007,82.0,UZB
01_101_,Total,True,2008,82.7,UZB
01_101_,Total,True,2009,77.7,UZB
01_101_,Total,True,2010,79.0,UZB
01_101_,Total,True,2011,79.8,UZB
01_101_,Total,True,2012,77.8,UZB
01_101_,Total,True,2013,75.5,UZB
01_101_,Total,True,2014,73.7,UZB
01_101_,Total,True,2015,75.4,UZB
01_101_,Total,True,2016,76.6,UZB
01_101_,Total,True,2017,76.0,UZB
01_101_,Total,True,2018,68.5,UZB
01_101_,Total,True,2019,74.3,UZB
01_101_,Total,True,2020,77.9,UZB
01_101_,Total,True,2021,67.2,UZB
