unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,10.5,UZB
01_101_,Total,True,2001,11.2,UZB
01_101_,Total,True,2002,14.7,UZB
01_101_,Total,True,2003,15.6,UZB
01_101_,Total,True,2004,14.0,UZB
01_101_,Total,True,2005,15.3,UZB
01_101_,Total,True,2006,12.7,UZB
01_101_,Total,True,2007,13.2,UZB
01_101_,Total,True,2008,8.9,UZB
01_101_,Total,True,2009,12.9,UZB
01_101_,Total,True,2010,15.8,UZB
01_101_,Total,True,2011,10.8,UZB
01_101_,Total,True,2012,12.6,UZB
01_101_,Total,True,2013,10.5,UZB
01_101_,Total,True,2014,10.9,UZB
01_101_,Total,True,2015,11.8,UZB
01_101_,Total,True,2016,11.6,UZB
01_101_,Total,True,2017,13.0,UZB
01_101_,Total,True,2018,9.4,UZB
01_101_,Total,True,2019,10.2,UZB
01_101_,Total,True,2020,7.5,UZB
01_101_,Total,True,2021,7.0,UZB
