Year,Reference area,GeoCode,Value,M49_country_code
2016,,,96.5,KGZ
2017,,,97.8,KGZ
2018,,,99.1,KGZ
2019,,,96.0,KGZ
2020,,,96.5,KGZ
2016,Batken,KG05,97.9,KGZ
2017,Batken,KG05,99.1,KGZ
2018,Batken,KG05,96.5,KGZ
2019,Batken,KG05,98.8,KGZ
2020,Batken,KG05,98.5,KGZ
2016,Jalal-Abad,KG03,94.4,KGZ
2017,Jalal-Abad,KG03,97.1,KGZ
2018,Jalal-Abad,KG03,97.6,KGZ
2019,Jalal-Abad,KG03,95.1,KGZ
2020,Jalal-Abad,KG03,96.8,KGZ
2016,Issyk-Kul,KG02,95.8,KGZ
2017,Issyk-Kul,KG02,97.1,KGZ
2018,Issyk-Kul,KG02,99.4,KGZ
2019,Issyk-Kul,KG02,91.1,KGZ
2020,Issyk-Kul,KG02,92.3,KGZ
2016,Naryn,KG04,94.9,KGZ
2017,Naryn,KG04,93.7,KGZ
2018,Naryn,KG04,95.5,KGZ
2019,Naryn,KG04,94.7,KGZ
2020,Naryn,KG04,96.6,KGZ
2016,Osh,KG06,92.4,KGZ
2017,Osh,KG06,94.8,KGZ
2018,Osh,KG06,94.2,KGZ
2019,Osh,KG06,96.1,KGZ
2020,Osh,KG06,96.3,KGZ
2016,Talas,KG07,95.3,KGZ
2017,Talas,KG07,94.7,KGZ
2018,Talas,KG07,95.5,KGZ
2019,Talas,KG07,95.7,KGZ
2020,Talas,KG07,94.7,KGZ
2016,Chui,KG08,98.0,KGZ
2017,Chui,KG08,97.5,KGZ
2018,Chui,KG08,99.4,KGZ
2019,Chui,KG08,89.0,KGZ
2020,Chui,KG08,94.7,KGZ
2016,Bishkek (city),KG11,104.91,KGZ
2017,Bishkek (city),KG11,105.21,KGZ
2018,Bishkek (city),KG11,110.61,KGZ
2019,Bishkek (city),KG11,104.01,KGZ
2020,Bishkek (city),KG11,98.8,KGZ
2016,Osh (city),KG21,95.4,KGZ
2017,Osh (city),KG21,117.51,KGZ
2018,Osh (city),KG21,106.51,KGZ
2019,Osh (city),KG21,103.71,KGZ
2020,Osh (city),KG21,98.8,KGZ
