unique_id,col_caption_name,col_caption_name1_empty,year,value
01_101_,Total,True,2000,19.3
01_101_,Total,True,2001,20.5
01_101_,Total,True,2002,21.4
01_101_,Total,True,2003,21
01_101_,Total,True,2004,21.6
01_101_,Total,True,2005,21.3
01_101_,Total,True,2006,21.3
01_101_,Total,True,2007,20.6
01_101_,Total,True,2008,19.7
01_101_,Total,True,2009,19.6
01_101_,Total,True,2010,18.5
01_101_,Total,True,2011,18.2
01_101_,Total,True,2012,18.7
01_101_,Total,True,2013,18.8
01_101_,Total,True,2014,20.3
01_101_,Total,True,2015,20.8
01_101_,Total,True,2016,23.8
01_101_,Total,True,2017,25.4
01_101_,Total,True,2018,32
01_101_,Total,True,2019,45.6
01_101_,Total,True,2020,50.9
01_101_,Total,True,2021,0
