unique_id,col_caption_name,col_caption_name1_empty,year,value
12_101_,Total,True,2000,2.8
12_101_,Total,True,2000,3
12_101_,Total,True,2000,3
12_101_,Total,True,2000,3
12_101_,Total,True,2000,2
12_101_,Total,True,2000,3
12_101_,Total,True,2001,2.8
12_101_,Total,True,2001,3
12_101_,Total,True,2001,3
12_101_,Total,True,2001,3
12_101_,Total,True,2001,2
12_101_,Total,True,2001,3
12_101_,Total,True,2002,2.8
12_101_,Total,True,2002,3
12_101_,Total,True,2002,3
12_101_,Total,True,2002,3
12_101_,Total,True,2002,2
12_101_,Total,True,2002,3
12_101_,Total,True,2003,2.8
12_101_,Total,True,2003,3
12_101_,Total,True,2003,3
12_101_,Total,True,2003,3
12_101_,Total,True,2003,2
12_101_,Total,True,2003,3
12_101_,Total,True,2004,2.8
12_101_,Total,True,2004,3
12_101_,Total,True,2004,3
12_101_,Total,True,2004,3
12_101_,Total,True,2004,2
12_101_,Total,True,2004,3
12_101_,Total,True,2005,2.8
12_101_,Total,True,2005,3
12_101_,Total,True,2005,3
12_101_,Total,True,2005,3
12_101_,Total,True,2005,2
12_101_,Total,True,2005,3
12_101_,Total,True,2006,2.8
12_101_,Total,True,2006,3
12_101_,Total,True,2006,3
12_101_,Total,True,2006,3
12_101_,Total,True,2006,2
12_101_,Total,True,2006,3
12_101_,Total,True,2007,2.8
12_101_,Total,True,2007,3
12_101_,Total,True,2007,3
12_101_,Total,True,2007,3
12_101_,Total,True,2007,2
12_101_,Total,True,2007,3
12_101_,Total,True,2008,2.8
12_101_,Total,True,2008,3
12_101_,Total,True,2008,3
12_101_,Total,True,2008,3
12_101_,Total,True,2008,2
12_101_,Total,True,2008,3
12_101_,Total,True,2009,2.8
12_101_,Total,True,2009,3
12_101_,Total,True,2009,3
12_101_,Total,True,2009,3
12_101_,Total,True,2009,2
12_101_,Total,True,2009,3
12_101_,Total,True,2010,2.8
12_101_,Total,True,2010,3
12_101_,Total,True,2010,3
12_101_,Total,True,2010,3
12_101_,Total,True,2010,2
12_101_,Total,True,2010,3
12_101_,Total,True,2011,2.8
12_101_,Total,True,2011,3
12_101_,Total,True,2011,3
12_101_,Total,True,2011,3
12_101_,Total,True,2011,2
12_101_,Total,True,2011,3
12_101_,Total,True,2012,2.8
12_101_,Total,True,2012,3
12_101_,Total,True,2012,3
12_101_,Total,True,2012,3
12_101_,Total,True,2012,2
12_101_,Total,True,2012,3
12_101_,Total,True,2013,2.8
12_101_,Total,True,2013,3
12_101_,Total,True,2013,3
12_101_,Total,True,2013,3
12_101_,Total,True,2013,2
12_101_,Total,True,2013,3
12_101_,Total,True,2014,2.8
12_101_,Total,True,2014,3
12_101_,Total,True,2014,3
12_101_,Total,True,2014,3
12_101_,Total,True,2014,2
12_101_,Total,True,2014,3
12_101_,Total,True,2015,2.8
12_101_,Total,True,2015,3
12_101_,Total,True,2015,3
12_101_,Total,True,2015,3
12_101_,Total,True,2015,2
12_101_,Total,True,2015,3
12_101_,Total,True,2016,2.8
12_101_,Total,True,2016,3
12_101_,Total,True,2016,3
12_101_,Total,True,2016,3
12_101_,Total,True,2016,2
12_101_,Total,True,2016,3
12_101_,Total,True,2017,2.8
12_101_,Total,True,2017,3
12_101_,Total,True,2017,3
12_101_,Total,True,2017,3
12_101_,Total,True,2017,2
12_101_,Total,True,2017,3
12_101_,Total,True,2018,2.8
12_101_,Total,True,2018,3
12_101_,Total,True,2018,3
12_101_,Total,True,2018,3
12_101_,Total,True,2018,2
12_101_,Total,True,2018,3
12_101_,Total,True,2019,2.8
12_101_,Total,True,2019,3
12_101_,Total,True,2019,3
12_101_,Total,True,2019,3
12_101_,Total,True,2019,2
12_101_,Total,True,2019,3
12_101_,Total,True,2020,2.8
12_101_,Total,True,2020,3
12_101_,Total,True,2020,3
12_101_,Total,True,2020,3
12_101_,Total,True,2020,2
12_101_,Total,True,2020,3
12_101_,Total,True,2021,2.8
12_101_,Total,True,2021,3
12_101_,Total,True,2021,3
12_101_,Total,True,2021,3
12_101_,Total,True,2021,2
12_101_,Total,True,2021,3
